requirement_text,primary_service,service_category,complexity_level,deployment_scenario,keywords_extracted,reference_url
Protect web applications by integrating with security services at the content delivery edge. This requirement comes from a analytics pipeline environment with medium complexity and focuses on dns-centric operations.,Amazon CloudFront,Networking,Medium,Analytics Pipeline,dns,https://aws.amazon.com/cloudfront/
"Define fine-grained access control policies for users, roles, and services. This requirement comes from a migration environment with medium complexity and focuses on secrets-centric operations.",AWS IAM,Security,Medium,Migration,secrets,https://aws.amazon.com/iam/
Support compute-intensive processing with flexible instance types and sizes. This requirement comes from a migration environment with low complexity and focuses on deploy-centric operations.,Amazon EC2,Compute,Low,Migration,deploy,https://aws.amazon.com/ec2/
Provide high-availability relational database instances with read replicas. This requirement comes from a iot system environment with high complexity and focuses on cache-centric operations.,Amazon RDS,Database,High,IoT System,cache,https://aws.amazon.com/rds/
Execute short-lived functions that scale automatically with incoming workload. This requirement comes from a analytics pipelien environment with low complexity and focuses on deploy-centric operations.,AWS Lambda,Compute,Low,Analytics Pipeline,deploy,https://aws.amazon.com/lambda/
Offload read traffic from primary databases by storing computed or static results in cache. This requirement comes from a startup environment with high complexity and focuses on cache-centric operations.,Amazon ElastiCache,Database,High,Startup,cache,https://aws.amazon.com/elasticache/
Support transactional applications that require SQL-based data access. This requirement comes from a analytics pipeline environment with medium complexity and focuses on database-centric operations.,Amazon RDS,Database,Medium,Analytics Pipeline,database,https://aws.amazon.com/rds/
Accelerate media streaming and software distribution workloads worldwide. This requirement comes from a startup environment with high complexity and focuses on latency-centric operations.,Amazon CloudFront,Networking,High,Startup,latency,https://aws.amazon.com/cloudfront/
Deploy microservices-based architectures using managed container orchestration. This requirement comes from a multi-region environment with low complexity and focuses on vm-centric operations.,AWS Fargate,Compute,Low,Multi-Region,vm,https://aws.amazon.com/fargate/
Run high-performance relational databases compatible with MySQL or PostgreSQL. This requirement comes from a enterprise environment with high complexity and focuses on cache-centric operations.,Amazon Aurora,Database,High,Enterprise,cache,https://aws.amazon.com/rds/aurora/
Build event-driven architectures that respond to changes in data streams and requests. This requirement comes from a enterprise environment with low complexity and focuses on run-centric operations.,AWS Lambda,Compute,Low,Enterprise,run,https://aws.amazon.com/lambda/
Deploy and manage web applications without manually configuring the underlying infrastructure. This requirement comes from a startup environment with low complexity and focuses on vm-centric operations.,Elastic Beanstalk,Compute,Low,Startup,vm,https://aws.amazon.com/elasticbeanstalk/
Distribute incoming client traffic across multiple healthy application instances. This requirement comes from a multi-region environment with medium complexity and focuses on routing-centric operations.,Elastic Load Balancing,Networking,Medium,Multi-Region,routing,https://aws.amazon.com/elasticloadbalancing/
"Support HTTP, HTTPS, and TCP load balancing for web and microservice architectures. This requirement comes from a startup environment with medium complexity and focuses on dns-centric operations.",Elastic Load Balancing,Networking,Medium,Startup,dns,https://aws.amazon.com/elasticloadbalancing/
Secure workloads by segmenting applications across public and private subnets. This requirement comes from a startup environment with high complexity and focuses on routing-centric operations.,Amazon VPC,Networking,High,Startup,routing,https://aws.amazon.com/vpc/
Run containerised applications without managing server infrastructure or clusters. This requirement comes from a iot system environment with high complexity and focuses on vm-centric operations.,AWS Fargate,Compute,High,IoT System,vm,https://aws.amazon.com/fargate/
you know Manage serverless NoSQL databases that scale automatically with request volume. This requirement comes from a enterprise environment with medium complexity and focuses on sql-centric operations.,Amazon DynamoDB,Database,Medium,Enterprise,sql,https://aws.amazon.com/dynamodb/
pls Provision virtual machines with full operating system control for custom applications. This requirement comes from a multi-region environment with high complexity and focuses on run-centric operations.,Amazon EC2,Compute,High,Multi-Region,run,https://aws.amazon.com/ec2/
Meet compliance requirements throuhg scheduled backups and retention rules. This requirement comes from a startup environment with low complexity and focuses on files-centric operations.,AWS Backup,Storage,Low,Startup,files,https://aws.amazon.com/backup/
Scale read-heavy applications using multiple low-latency read replicas. This requirement comes from a iot system environment with medium complexity and focuses on sql-centric operations.,Amazon Aurora,Database,Medium,IoT System,sql,https://aws.amazon.com/rds/aurora/
Provision virtual machines with full operating system control for custom This requirement comes from a iot system environment with medium complexity and focuses on deploy-centric operations.,Amazon EC2,Compute,Medium,IoT System,deploy,https://aws.amazon.com/ec2/
Store and retrieve large volumes of unstructured objects such as media files and logs. This requirement comes from a iot system environment with low complexity and focuses on store-centric operations.,Amazon S3,Storage,Low,IoT System,store,https://aws.amazon.com/s3/
Enforce least-privilege principles across AWS accounts and workloads. This requirement comes from a startup environment with medium complexity and focuses on encrypt-centric operations.,AWS IAM,Security,Medium,Startup,encrypt,https://aws.amazon.com/iam/
Simplify deployment pipelines for developers using familiar language runtimes. This requirement comes from a analytics pipeline environment with medium complexity and focuses on deploy-centric operations.,Elastic Beanstalk,Compute,Medium,Analytics Pipeline,deploy,https://aws.amazon.com/elasticbeanstalk/
Run high-performance relational databases compatible with MySQL or PostgreSQL. This requirement comes from a analytics pipeline environment with medium complexity and focuses on database-centric operations.,Amazon Aurora,Database,Medium,Analytics Pipeline,database,https://aws.amazon.com/rds/aurora/
Improve application performance using in-memory caching of frequently accessed data. This requirement comes from a iot system environment with low complexity and focuses on nosql-centric operations.,Amazon ElastiCache,Database,Low,IoT System,nosql,https://aws.amazon.com/elasticache/
Host legacy enterprise workloads that require persistent compute instances. This requirement comes from a iot system environment with medium complexity and focuses on run-centric operations.,Amazon EC2,Compute,Medium,IoT System,run,https://aws.amazon.com/ec2/
Scale file system capacity automatically for Linux-based applications. This requirement comes from a iot system environment with medium complexity and focuses on store-centric operations.,Amazon EFS,Storage,Medium,IoT System,store,https://aws.amazon.com/efs/
Accelerate media streaming and software distribution workloads worldwide. This requirement comes from a analytics pipeline environment with low complexity and focuses on latency-centric operations.,Amazon CloudFront,Networking,Low,Analytics Pipeline,latency,https://aws.amazon.com/cloudfront/
Apply managed and custom rules to inspect HTTP and HTTPS traffic patterns. This requirement comes from a migration environment with low complexity and focuses on identity-centric operations.,AWS WAF,Security,Low,Migration,identity,https://aws.amazon.com/waf/
Support compute-intensive processing with flexible instance types and sizes. This requirement comes from a migration environment with high complexity and focuses on run-centric operations.,Amazon EC2,Compute,High,Migration,run,https://aws.amazon.com/ec2/
Create and manage cryptographic keys used to encrypt data at rest and in transit. This requirement comes from a startup environment with high complexity and focuses on identity-centric operations.,AWS KMS,Security,High,Startup,identity,https://aws.amazon.com/kms/
Integrate on-premises networks with cloud resources using VPN or Direct Connect. This requirement comes from a enterprise environment with low complexity and focuses on latency-centric operations.,Amazon VPC,Networking,Low,Enterprise,latency,https://aws.amazon.com/vpc/
Provide highly available domain name system routing for internet applications. This requirement comes from a migration environment with medium complexity and focuses on subnet-centric operations.,Amazon Route 53,Networking,Medium,Migration,subnet,https://aws.amazon.com/route53/
Offload read traffic from primary databases by storing computed or static results in cache. This requirement comes from a multi-region environment with high complexity and focuses on nosql-centric operations.,Amazon ElastiCache,Database,High,Multi-Region,nosql,https://aws.amazon.com/elasticache/
Centralise key management for compliance-sensitive workloads in the cloud. This requirement comes from a iot system environment with high complexity and focuses on secrets-centric operations.,AWS KMS,Security,High,IoT System,secrets,https://aws.amazon.com/kms/
Improve fault tolerance by routing requests away from unhealthy targets. This requirement comes from a migration environment with low complexity and focuses on dns-centric operations.,Elastic Load Balancing,Networking,Low,Migration,dns,https://aws.amazon.com/elasticloadbalancing/
Distribute incoming client traffic across multiple healthy application instances. This requirement comes from a migration environment with high complexity and focuses on edge-centric operations.,Elastic Load Balancing,Networking,High,Migration,edge,https://aws.amazon.com/elasticloadbalancing/
Support transactional applications that require SQL-based data access. This requirement comes from a enterprise environment with low complexity and focuses on key-value-centric operations.,Amazon RDS,Database,Low,Enterprise,key-value,https://aws.amazon.com/rds/
Support low-latency data access using managed Redis or Memcached clusters. This requirement comes from a enterprise environment with high complexity and focuses on cache-centric operations.,Amazon ElastiCache,Database,High,Enterprise,cache,https://aws.amazon.com/elasticache/
Support low-latency data access using managed Redis or Memcached clusters. This requirement comes from a startup environment with high complexity and focuses on key-value-centric operations.,Amazon ElastiCache,Database,High,Startup,key-value,https://aws.amazon.com/elasticache/
Provide highly available network file storage for containerised workloads. This requirement comes from a migration environment with high complexity and focuses on object-centric operations.,Amazon EFS,Storage,High,Migration,object,https://aws.amazon.com/efs/
Host static website content and assets with high availability. This requirement comes from a analytics pipeline environment with low complexity and focuses on archive-centric operations.,Amazon S3,Storage,Low,Analytics Pipeline,archive,https://aws.amazon.com/s3/
Improve application performance using in-memory caching of frequently accessed data. This requirement comes from a startup environment with low complexity and focuses on database-centric operations.,Amazon ElastiCache,Database,Low,Startup,database,https://aws.amazon.com/elasticache/
Provision virtual machines with full operating system control for custom applications. This requirement comes from a iot system environment with medium complexity and focuses on microservices-centric operations.,Amazon EC2,Compute,Medium,IoT System,microservices,https://aws.amazon.com/ec2/
Integrate on-premises networks with cloud resources using VPN or Direct Connect. This requirement comes from a startup environment with medium complexity and focuses on edge-centric operations.,Amazon VPC,Networking,Medium,Startup,edge,https://aws.amazon.com/vpc/
Scale file system capacity automatically for Linux-based applications. This requirement comes from a iot system environment with high complexity and focuses on store-centric operations.,Amazon EFS,Storage,High,IoT System,store,https://aws.amazon.com/efs/
Store key-value and document data for high-traffic applications with single-digit millisecond latency. This requirement comes from a startup environment with medium complexity and focuses on sql-centric operations.,Amazon DynamoDB,Database,Medium,Startup,sql,https://aws.amazon.com/dynamodb/
Scale container workloads on demand based on incoming traffic patterns. This requirement comes from a analytics pipeline environment with medium complexity and focuses on deploy-centric operations.,AWS Fargate,Compute,Medium,Analytics Pipeline,deploy,https://aws.amazon.com/fargate/
"Define fine-grained access control policies for users, roles, and services. This requirement comes from a iot system environment with high complexity and focuses on access-centric operations.",AWS IAM,Security,High,IoT System,access,https://aws.amazon.com/iam/
Apply managed and custom rules to inspect HTTP and HTTPS traffic patterns. This requirement comes from a analytics environment with high complexity and focuses on access-centric operations.,AWS WAF,Security,High,Analytics Pipeline,access,https://aws.amazon.com/waf/
Accelerate media streaming and software distribution workloads worldwide. This requirement comes from a startup environment with medium complexity and focuses on dns-centric operations.,Amazon CloudFront,Networking,Medium,Startup,dns,https://aws.amazon.com/cloudfront/
Support low-latency read write operations for databases and line-of-business applications. This requirement comes from a startup environment with high complexity and focuses on backup-centric operations.,Amazon EBS,Storage,High,Startup,backup,https://aws.amazon.com/ebs/
"Support HTTP, HTTPS, and TCP load balancing for web and microservice architectures. This requirement comes from a startup environment with medium complexity and focuses on routing-centric operations.",Elastic Load Balancing,Networking,Medium,Startup,routing,https://aws.amazon.com/elasticloadbalancing/
Manage serverless NoSQL databases that scale automatically with request volume. This requirement comes from a multi-region environment with high complexity and focuses on nosql-centric operations.,Amazon DynamoDB,Database,High,Multi-Region,nosql,https://aws.amazon.com/dynamodb/
Support low-latency data access using managed Redis or Memcached clusters. This requirement comes from a enterprise environment with low complexity and focuses on nosql-centric operations.,Amazon ElastiCache,Database,Low,Enterprise,nosql,https://aws.amazon.com/elasticache/
Provide high-availability relational database instances with read replicas. This requirement comes from a multi-region environment with medium complexity and focuses on sql-centric operations.,Amazon RDS,Database,Medium,Multi-Region,sql,https://aws.amazon.com/rds/
Simplify deployment pipelines for developers using familiar language runtimes. This requirement comes from a multi-region environment with low complexity and focuses on vm-centric operations.,Elastic Beanstalk,Compute,Low,Multi-Region,vm,https://aws.amazon.com/elasticbeanstalk/
Protect web applications from common exploits such as SQL injection and cross-site scripting. This requirement comes from a multi-region environment with medium complexity and focuses on identity-centric operations.,AWS WAF,Security,Medium,Multi-Region,identity,https://aws.amazon.com/waf/
Improve fault tolerance by routing requests away from unhealthy targets. This requirement comes from a enterprise environment with low complexity and focuses on latency-centric operations.,Elastic Load Balancing,Networking,Low,Enterprise,latency,https://aws.amazon.com/elasticloadbalancing/
Distribute incoming client traffic across multiple healthy application instances. This requirement comes from a analytics pipeline environment with medium complexity and focuses on latency-centric operations.,Elastic Load Balancing,Networking,Medium,Analytics Pipeline,latency,https://aws.amazon.com/elasticloadbalancing/
"Define fine-grained access control policies for users, roles, and services. This requirement comes from a startup environment with medium complexity and focuses on firewall-centric operations.",AWS IAM,Security,Medium,Startup,firewall,https://aws.amazon.com/iam/
Host legacy enteprrise workloads that require persistent compute instances. This comes from a startup environment with medium complexity and focuses on microservices-centric operations.,Amazon EC2,Compute,Medium,Startup,microservices,https://aws.amazon.com/ec2/
Improve fault tolerance by routing requests away from unhealthy targets. This requirement comes from a migration environment with high complexity and focuses on dns-centric operations.,Elastic Load Balancing,Networking,High,Migration,dns,https://aws.amazon.com/elasticloadbalancing/
Attach persistent block storage volumes to virtual machine instances for transactional workloads. This requirement comes from a enterprise environment with medium complexity and focuses on store-centric operations.,Amazon EBS,Storage,Medium,Enterprise,store,https://aws.amazon.com/ebs/
Host legacy enterprise workloads that require persistent compute instances. This requirement comes from a multi-region environment with low complexity and focuses on microservices-centric operations.,Amazon EC2,Compute,Low,Multi-Region,microservices,https://aws.amazon.com/ec2/
"Automatically handle capacity provisioning, load balancing, and health monitoring for applications. This requirement comes from a analytics pipeline environment with medium complexity and focuses on serverless-centric operations.",Elastic Beanstalk,Compute,Medium,Analytics Pipeline,serverless,https://aws.amazon.com/elasticbeanstalk/
Implement health-checked DNS failover to improve application resilience. This requirement comes from a iot system environment with medium complexity and focuses on subnet-centric operations.,Amazon Route 53,Networking,Medium,IoT System,subnet,https://aws.amazon.com/route53/
Improve application performance using in-memory caching of frequently accessed data. This requirement comes from a iot system environment with low complexity and focuses on key-value-centric operations.,Amazon ElastiCache,Database,Low,IoT System,key-value,https://aws.amazon.com/elasticache/
"Control access to encryption keys used by storage, databases, and applications. This requirement comes from a analytics pipeline environment with low complexity and focuses on identity-centric operations.",AWS KMS,Security,Low,Analytics Pipeline,identity,https://aws.amazon.com/kms/
Build event-driven architectures that respond to changes in data streams and requests. This requirement comes from a startup environment with high complexity and focuses on run-centric operations.,AWS Lambda,Compute,High,Startup,run,https://aws.amazon.com/lambda/
Store and retrieve large volumes of unstructured objects such as media files and logs. This requirement comes from a analytics pipeline environment with low complexity and focuses on files-centric operations.,Amazon S3,Storage,Low,Analytics Pipeline,files,https://aws.amazon.com/s3/
Provision and operate managed relational databases with automated backups and patching. This requirement comes from a startup environment with low complexity and focuses on cache-centric operations.,Amazon RDS,Database,Low,Startup,cache,https://aws.amazon.com/rds/
Apply managed and custom rules to inspect HTTP and HTTPS traffic patterns. This requirement comes from a iot system environment with high complexity and focuses on secrets-centric operations.,AWS WAF,Security,High,IoT System,secrets,https://aws.amazon.com/waf/
Filter and block malicious requests at the edge before they reach application servers. This requirement comes from a multi-region environment with high complexity and focuses on secrets-centric operations.,AWS WAF,Security,High,Multi-Region,secrets,https://aws.amazon.com/waf/
Deploy and manage web applications without manually configuring the underlying infrastructure. This requirement comes from a startup environment with low complexity and focuses on deploy-centric operations.,Elastic Beanstalk,Compute,Low,Startup,deploy,https://aws.amazon.com/elasticbeanstalk/
Deploy and manage web applications without manually configuring the underlying infrastructure. This requirement comes from a iot system environment with high complexity and focuses on microservices-centric operations.,Elastic Beanstalk,Compute,High,IoT System,microservices,https://aws.amazon.com/elasticbeanstalk/
Store and retrieve large volumes of unstructured objects such as media files and logs. This requirement comes from a iot system environment with high complexity and focuses on store-centric operations.,Amazon S3,Storage,High,IoT System,store,https://aws.amazon.com/s3/
uhh Improve application performance using in-memory caching of frequently accessed data. This requirement comes from a startup environment with low complexity and focuses on cache-centric operations.,Amazon ElastiCache,Database,Low,Startup,cache,https://aws.amazon.com/elasticache/
Manage serverless NoSQL databases that scale automatically with request volume. This requirement comes from a iot system environment with medium complexity and focuses on cache-centric operations.,Amazon DynamoDB,Database,Medium,IoT System,cache,https://aws.amazon.com/dynamodb/
Store and retrieve large volumes of unstructured objects such as media files and logs. This requirement comes from a iot system environment with high complexity and focuses on store-centric operations.,Amazon S3,Storage,High,IoT System,store,https://aws.amazon.com/s3/
Manage domain registration and routing policies for multi-region deployments. This requirement comes from a enterprise environment with medium complexity and focuses on routing-centric operations.,Amazon Route 53,Networking,Medium,Enterprise,routing,https://aws.amazon.com/route53/
Deploy microservices-based architectures using managed container orchestration. This requirement comes from a iot system environment with low complexity and focuses on run-centric operations.,AWS Fargate,Compute,Low,IoT System,run,https://aws.amazon.com/fargate/
Improve fault tolerance by routing requests away from unhealthy targets. This requirement comes from a iot system environment with low complexity and focuses on routing-centric operations.,Elastic Load Balancing,Networking,Low,IoT System,routing,https://aws.amazon.com/elasticloadbalancing/
Meet compliance requirements through scheduled backups and retention rules. This requirement comes from a analytics pipeline environment with low complexity and focuses on files-centric operations.,AWS Backup,Storage,Low,Analytics Pipeline,files,https://aws.amazon.com/backup/
Improve fault tolerance by routing requests away from unhealthy targets. This requirement comes from a analytics pipeline environment with high complexity and focuses on latency-centric operations.,Elastic Load Balancing,Networking,High,Analytics Pipeline,latency,https://aws.amazon.com/elasticloadbalancing/
Simplify deployment pipelines for developers using familiar language runtimes. This requirement comes from a enterprise environment with low complexity and focuses on run-centric operations.,Elastic Beanstalk,Compute,Low,Enterprise,run,https://aws.amazon.com/elasticbeanstalk/
Run application code in response to events without managing servers. This requirement comes from a iot system environment with medium complexity and focuses on microservices-centric operations.,AWS Lambda,Compute,Medium,IoT System,microservices,https://aws.amazon.com/lambda/
Manage domain registration and routing policies for multi-region deployments. This requirement comes from a enterprise environment with medium complexity and focuses on routing-centric operations.,Amazon Route 53,Networking,Medium,Enterprise,routing,https://aws.amazon.com/route53/
Provide SSD-backed storage for performance-sensitive compute tasks. This requirement comes from a analytics pipeline environment with high complexity and focuses on store-centric operations.,Amazon EBS,Storage,High,Analytics Pipeline,store,https://aws.amazon.com/ebs/
Enforce least-privilege principles across AWS accounts and workloads. This requirement comes from a startup environment with medium complexity and focuses on firewall-centric operations.,AWS IAM,Security,Medium,Startup,firewall,https://aws.amazon.com/iam/
Run containerised applications without managing server infrastructure or clusters. This requirement comes from a migration environment with medium complexity and focuses on deploy-centric operations.,AWS Fargate,Compute,Medium,Migration,deploy,https://aws.amazon.com/fargate/
Enforce least-privilege principles across AWS accounts and workloads. This requirement comes from a migration environment with low complexity and focuses on firewall-centric operations.,AWS IAM,Security,Low,Migration,firewall,https://aws.amazon.com/iam/
Implement health-checked DNS failover to improve application resilience. This requirement comes from a analytics pipeline environment with low complexity and focuses on latency-centric operations.,Amazon Route 53,Networking,Low,Analytics Pipeline,latency,https://aws.amazon.com/route53/
Support compute-intensive processing with flexible instance types and sizes. This requirement comes from a enterprise environment with high complexity and focuses on microservices-centric operations.,Amazon EC2,Compute,High,Enterprise,microservices,https://aws.amazon.com/ec2/
Host static website content and assets with high availability. This requirement comes from a startup environment with high complexity and focuses on backup-centric operations.,Amazon S3,Storage,High,Startup,backup,https://aws.amazon.com/s3/
Centralise key management for compliance-sensitive workloads in the cloud. This requirement comes from a iot system environment with low complexity and focuses on encrypt-centric operations.,AWS KMS,Security,Low,IoT System,encrypt,https://aws.amazon.com/kms/
Support low-latency data access using managed Redis or Memcached clusters. This requirement comes from a enterprise environment with low complexity and focuses on cache-centric operations.,Amazon ElastiCache,Database,Low,Enterprise,cache,https://aws.amazon.com/elasticache/
Support low-latency data access using managed Redis or Memcached clusters. This requirement comes from a migration environment with high complexity and focuses on cache-centric operations.,Amazon ElastiCache,Database,High,Migration,cache,https://aws.amazon.com/elasticache/
Apply managed and custom rules to inspect HTTP and HTTPS traffic patterns. This requirement comes from a analytics pipeline environment with high complexity and focuses on firewall-centric operations.,AWS WAF,Security,High,Analytics Pipeline,firewall,https://aws.amazon.com/waf/
Offload read traffic from primary databases by storing computed or static results in cache. This requirement comes from a multi-region environment with medium complexity and focuses on nosql-centric operations.,Amazon ElastiCache,Database,Medium,Multi-Region,nosql,https://aws.amazon.com/elasticache/
Provision virtual machines with full operating system for custom applications. This requirement comes from a analytics pipeline environment with high complexity and focuses on serverless-centric operatoins.,Amazon EC2,Compute,High,Analytics Pipeline,serverless,https://aws.amazon.com/ec2/
Centralise key management for compliance-sensitive workloads in the cloud. This requirement comes from a migration environment with medium complexity and focuses on secrets-centric operations.,AWS KMS,Security,Medium,Migration,secrets,https://aws.amazon.com/kms/
Simplify deployment pipelines for developers using familiar language runtimes. This requirement comes from a startup environment with high complexity and focuses on serverless-centric operations.,Elastic Beanstalk,Compute,High,Startup,serverless,https://aws.amazon.com/elasticbeanstalk/
Run application code in response to events without managing servers. This requirement comes from a iot system environment with medium complexity and focuses on deploy-centric operations.,AWS Lambda,Compute,Medium,IoT System,deploy,https://aws.amazon.com/lambda/
"Define fine-grained access control policies for users, roles, and services. This requirement comes from a enterprise environment with medium complexity and focuses on firewall-centric operations.",AWS IAM,Security,Medium,Enterprise,firewall,https://aws.amazon.com/iam/
Support low-latency read write operations for databases and line-of-business applications. This requirement comes from a enterprise environment with high complexity and focuses on files-centric operations.,Amazon EBS,Storage,High,Enterprise,files,https://aws.amazon.com/ebs/
Store key-value and document data for high-traffic applications with single-digit millisecond latency. This requirement comes from a enterprise environment with low complexity and focuses on nosql-centric operations.,Amazon DynamoDB,Database,Low,Enterprise,nosql,https://aws.amazon.com/dynamodb/
Scale file system automatically for Linux-based applications. This requirement comes from a iot system environment with medium complexity and focuses on backup-centric operations.,Amazon EFS,Storage,Medium,IoT System,backup,https://aws.amazon.com/efs/
Protect application data by orchestrating backups for storage and databases. This requirement comes from a multi-region environment with high complexity and focuses on object-centric operations.,AWS Backup,Storage,High,Multi-Region,object,https://aws.amazon.com/backup/
Improve fault tolerance by routing requests away from unhealthy targets. This requirement comes from a migration environment with high complexity and focuses on routing-centric operations.,Elastic Load Balancing,Networking,High,Migration,routing,https://aws.amazon.com/elasticloadbalancing/
Host legacy enterprise workloads that require persistent compute instances. This requirement comes from a multi-region environment with high complexity and focuses on run-centric operations.,Amazon EC2,Compute,High,Multi-Region,run,https://aws.amazon.com/ec2/
"Automatically handle capacity provisioning, load balancing, and health monitoring for applications. This requirement comes from a startup environment with low complexity and focuses on vm-centric operations.",Elastic Beanstalk,Compute,Low,Startup,vm,https://aws.amazon.com/elasticbeanstalk/
Scale read-heavy applications using multiple low-latency read replicas. This requirement comes from a analytics enviromnent with medium complexity and focuses on key-value-centric operations.,Amazon Aurora,Database,Medium,Analytics Pipeline,key-value,https://aws.amazon.com/rds/aurora/
"Automatically handle capacity provisioning, load balancing, and health monitoring for applications. This requirement comes from a startup environment with high complexity and focuses on serverless-centric operations.",Elastic Beanstalk,Compute,High,Startup,serverless,https://aws.amazon.com/elasticbeanstalk/
Distribute incoming client traffic across multiple healthy application instances. This requirement comes from a migration environment with low complexity and focuses on dns-centric operations.,Elastic Load Balancing,Networking,Low,Migration,dns,https://aws.amazon.com/elasticloadbalancing/
Scale container workloads on demand based on incoming traffic patterns. This requirement comes from a multi-region environment with high complexity and focuses on microservices-centric operations.,AWS Fargate,Compute,High,Multi-Region,microservices,https://aws.amazon.com/fargate/
"Design isolated virtual networks with control over IP addressing, subnets, and routing policies. This requirement comes from a startup environment with low complexity and focuses on dns-centric operations.",Amazon VPC,Networking,Low,Startup,dns,https://aws.amazon.com/vpc/
Support low-latency read write operations for databases and line-of-business applications. This requirement comes from a enterprise environment with low complexity and focuses on store-centric operations.,Amazon EBS,Storage,Low,Enterprise,store,https://aws.amazon.com/ebs/
Filter and block malicious requests at the edge before they reach application servers. This requirement comes from a multi-region environment with medium complexity and focuses on access-centric operations.,AWS WAF,Security,Medium,Multi-Region,access,https://aws.amazon.com/waf/
Deliver static and dynamic content to users globally with reduced latency through edge locations. This requirement comes from a iot system environment with high complexity and focuses on routing-centric operations.,Amazon CloudFront,Networking,High,IoT System,routing,https://aws.amazon.com/cloudfront/
like Build event-driven architectures that respond to changes in data streams and requests. This requirement comes from a enterprise environment with medium complexity and focuses on run-centric operations.,AWS Lambda,Compute,Medium,Enterprise,run,https://aws.amazon.com/lambda/
"Design isolated virtual networks with control over IP addressing, subnets, and routing policies. This requirement comes from a multi-region environment with medium complexity and focuses on edge-centric operations.",Amazon VPC,Networking,Medium,Multi-Region,edge,https://aws.amazon.com/vpc/
Create and manage cryptographic keys used to encrypt data at rest and in transit. This requirement comes from a enterprise environment with high complexity and focuses on operations.,AWS KMS,Security,High,Enterprise,encrypt,https://aws.amazon.com/kms/
Store key-value and document data for high-traffic applications with single-digit millisecond latency. This requirement comes from a iot system environment with low complexity and focuses on nosql-centric operations.,Amazon DynamoDB,Database,Low,IoT System,nosql,https://aws.amazon.com/dynamodb/
Offload read traffic from primary databases by storing computed or static results in cache. This requirement comes from a analytics pipeline environment with medium complexity and focuses on key-value-centric operations.,Amazon ElastiCache,Database,Medium,Analytics Pipeline,key-value,https://aws.amazon.com/elasticache/
Manage serverless NoSQL databases that scale automatically with request volume. This requirement comes from a iot system environment with medium complexity and focuses on cache-centric operations.,Amazon DynamoDB,Database,Medium,IoT System,cache,https://aws.amazon.com/dynamodb/
Protect application data by orchestrating backups for storage and databases. This requirement comes from a startup environment with high complexity and focuses on files-centric operations.,AWS Backup,Storage,High,Startup,files,https://aws.amazon.com/backup/
"Support HTTP, HTTPS, and TCP load balancing for web and microservice architectures. This requirement comes from a iot system environment with low complexity and focuses on dns-centric operations.",Elastic Load Balancing,Networking,Low,IoT System,dns,https://aws.amazon.com/elasticloadbalancing/
Provide highly available network file storage for containerised workloads. This requirement comes from a analytics pipeline environment with low complexity and focuses on store-centric operations.,Amazon EFS,Storage,Low,Analytics Pipeline,store,https://aws.amazon.com/efs/
"Design isolated virtual networks with control over IP addressing, subnets, and routing policies. This requirement comes from a iot system environment with medium complexity and focuses on dns-centric operations.",Amazon VPC,Networking,Medium,IoT System,dns,https://aws.amazon.com/vpc/
Support mission-critical workloads that require fault-tolerant distributed storage. This requirement comes from a analytics pipeline environment with low complexity and focuses on database-centric operations.,Amazon Aurora,Database,Low,Analytics Pipeline,database,https://aws.amazon.com/rds/aurora/
"Automatically handle capacity provisioning, load balancing, and health monitoring for applications. This requirement comes from a multi-region environment with high complexity and focuses on serverless-centric operations.",Elastic Beanstalk,Compute,High,Multi-Region,serverless,https://aws.amazon.com/elasticbeanstalk/
Run application code in response to events without managing servers. This requirement comes from a iot system environment with medium complexity and focuses on microservices-centric operations.,AWS Lambda,Compute,Medium,IoT System,microservices,https://aws.amazon.com/lambda/
Provide highly available domain name system routing for internet applications. This requirement comes from a multi-region environment with high complexity and focuses on edge-centric operations.,Amazon Route 53,Networking,High,Multi-Region,edge,https://aws.amazon.com/route53/
Remove hard-coded secrets from application configuration and deployment workflows. This requirement comes from a startup environment with high complexity and focuses on access-centric operations.,AWS Secrets Manager,Security,High,Startup,access,https://aws.amazon.com/secrets-manager/
Filter and block malicious requests at the edge before they reach application servers. This requirement comes from a enterprise environment with medium complexity and focuses on secrets-centric operations.,AWS WAF,Security,Medium,Enterprise,secrets,https://aws.amazon.com/waf/
Deliver static and dynamic content to users globally with reduced latency through edge locations. This requirement comes from a enterprise environment with high complexity and focuses on edge-centric operations.,Amazon CloudFront,Networking,High,Enterprise,edge,https://aws.amazon.com/cloudfront/
"Provide durable, cost-optimised object storage for application data and backups. This requirement comes from a startup environment with medium complexity and focuses on backup-centric operations.",Amazon S3,Storage,Medium,Startup,backup,https://aws.amazon.com/s3/
Distribute incoming client traffic across multiple healthy application instances. This requirement comes from a iot system environment with low complexity and focuses on edge-centric operations.,Elastic Load Balancing,Networking,Low,IoT System,edge,https://aws.amazon.com/elasticloadbalancing/
Run containerised applications without managing server infrastructure or clusters. This requirement comes from a multi-region environment with high complexity and focuses on microservices-centric operations.,AWS Fargate,Compute,High,Multi-Region,microservices,https://aws.amazon.com/fargate/
Support transactional applications that require SQL-based data access. This requirement comes from a multi-region environment with high complexity and focuses on key-value-centric operations.,Amazon RDS,Database,High,Multi-Region,key-value,https://aws.amazon.com/rds/
